"member_casual","day_of_week","avg_ride_len_mins","counter","total_ride_len_mins"
casual,1,17.69,244734,4330233.77
member,1,11.25,527409,5931288.55
casual,2,15.82,224858,3556651.02
member,2,11.25,562764,6329682.75
casual,3,16.1,260073,4187324.97
member,3,11.46,601566,6892363.03
casual,4,16.07,256022,4113503.92
member,4,11.3,562906,6362166.53
casual,5,17.73,304145,5393746.63
member,5,11.49,517925,5948992.45
casual,6,20.82,426835,8888722.37
member,6,13.05,471261,6149952.67
casual,7,20.98,354130,7431126.67
member,7,13.04,410420,5351120.05
