"member_casual","month","avg_ride_len_mins","counter","total_ride_len_mins"
casual,1,11.01,23723,261151.83
member,1,9.71,117542,1141638.07
casual,2,15.11,45881,693152.12
member,2,10.82,173506,1877124.85
casual,3,16.96,80071,1357764.97
member,3,10.83,215625,2335701.18
casual,4,18.72,127050,2378484.07
member,4,11.46,278420,3189614.3
casual,5,20.24,221690,4487104.33
member,5,12.55,371849,4666153.08
casual,6,19.74,288260,5691299.98
member,6,12.92,402898,5204290.12
casual,7,20.3,307216,6237675.62
member,7,12.81,422560,5414925.07
casual,8,19.19,305804,5869092.67
member,8,12.53,431198,5401779.92
casual,9,16.79,334159,5611901.03
member,9,11.65,467201,5443489.9
casual,10,17.22,209125,3600283.25
member,10,11.31,395594,4472450.3
casual,11,13.94,90457,1260889.18
member,11,10.28,239609,2463763.4
casual,12,12.11,37361,452510.28
member,12,9.8,138249,1354635.85
