"member_casual","hour_of_day","rides","avg_length_mins","total_ride_len_mins","median_length_mins","pct_of_rides"
casual,0,33838,14.11,477327.0,9.4,1.63
member,0,31956,10.79,344890.0,7.97,0.87
casual,1,22634,14.27,323038.0,9.6,1.09
member,1,19565,10.7,209330.0,7.63,0.54
casual,2,14057,13.92,195727.0,9.13,0.68
member,2,11101,10.67,118464.0,7.53,0.3
casual,3,7784,13.64,106140.0,8.93,0.38
member,3,7636,11.22,85690.0,7.9,0.21
casual,4,6147,11.74,72182.0,7.77,0.3
member,4,8569,11.04,94603.0,7.32,0.23
casual,5,11758,11.8,138687.0,7.82,0.57
member,5,34223,10.24,350371.0,7.38,0.94
casual,6,27884,11.57,322713.0,7.67,1.35
member,6,102819,9.94,1021933.0,7.7,2.81
casual,7,51960,12.44,646374.0,8.37,2.51
member,7,198114,10.8,2138750.0,8.45,5.42
casual,8,73541,13.57,997813.0,8.7,3.55
member,8,252304,10.89,2746999.0,8.58,6.9
casual,9,73522,18.0,1323159.0,10.77,3.55
member,9,171415,10.84,1858017.0,7.97,4.69
casual,10,90103,21.15,1905467.0,13.07,4.35
member,10,150835,11.53,1739808.0,8.23,4.13
casual,11,114796,21.8,2502733.0,14.03,5.54
member,11,176017,11.68,2056093.0,8.22,4.82
casual,12,136312,21.32,2905952.0,14.07,6.58
member,12,201744,11.62,2344299.0,8.18,5.52
casual,13,142320,21.43,3050085.0,14.3,6.87
member,13,201637,11.73,2364921.0,8.35,5.52
casual,14,148458,21.22,3150916.0,14.3,7.17
member,14,202147,12.2,2466109.0,8.78,5.53
casual,15,163728,20.28,3319696.0,13.82,7.91
member,15,247820,12.2,3024082.0,9.03,6.78
casual,16,185118,18.83,3485977.0,12.88,8.94
member,16,338325,12.34,4173677.0,9.43,9.26
casual,17,197538,17.93,3541180.0,12.62,9.54
member,17,387835,12.61,4889510.0,9.72,10.61
casual,18,168197,17.42,2929644.0,12.27,8.12
member,18,302098,12.3,3716975.0,9.35,8.27
casual,19,123874,16.95,2099072.0,11.88,5.98
member,19,211723,12.06,2553618.0,8.98,5.79
casual,20,90537,16.46,1490388.0,11.55,4.37
member,20,148399,11.92,1768789.0,8.98,4.06
casual,21,75181,15.89,1194347.0,11.17,3.63
member,21,113831,11.71,1332908.0,8.92,3.12
casual,22,65622,15.64,1026034.0,11.07,3.17
member,22,82370,11.79,971414.0,8.97,2.25
casual,23,45888,15.18,696658.0,10.52,2.22
member,23,51768,11.48,594315.0,8.5,1.42
