day_of_week,rideable_type,avg_ride_len_mins,max_ride_len_mins,counter,total_ride_len_mins
1,classic_bike,20.9,1499.95,372473,7784658.88
1,electric_bike,11.78,481.48,393956,4640984.98
1,electric_scooter,10.14,479.9,21559,218621.15
2,classic_bike,19.27,1500.85,372778,7182756.25
2,electric_bike,11.3,480.42,410918,4643785.85
2,electric_scooter,9.3,329.1,19161,178201.12
3,classic_bike,20.13,1500.43,405642,8166089.68
3,electric_bike,11.55,480.42,452348,5223507.4
3,electric_scooter,9.54,479.92,21387,204104.48
4,classic_bike,19.96,1499.97,379026,7564909.05
4,electric_bike,11.55,480.47,434549,5020924.87
4,electric_scooter,9.63,479.92,21912,210929.3
5,classic_bike,22.51,1500.48,379827,8550573.83
5,electric_bike,12.31,481.4,441121,5431620.05
5,electric_scooter,10.31,479.37,20329,209517.98
6,classic_bike,28.16,1559.93,442698,12465218.45
6,electric_bike,14.29,480.47,461855,6598413.03
6,electric_scooter,11.84,479.9,20260,239895.32
7,classic_bike,28.96,1500.52,382988,11092409.05
7,electric_bike,14.31,480.43,384254,5500179.37
7,electric_scooter,12.27,389.2,19716,241943.18
