member_casual,month,avg_ride_len_mins,max_ride_len_mins,counter,total_ride_len_mins
casual,1,21.32,1499.95,24446,521118.88
member,1,13.8,1499.95,120330,1660762.95
casual,2,25.19,1500.48,47157,1188030.05
member,2,12.92,1500.48,175979,2272843.4
casual,3,24.97,1559.93,82500,2060033.2
member,3,11.97,1559.8,219081,2622904.58
casual,4,26.02,1500.52,131745,3427913.02
member,4,12.37,1499.93,283092,3501314.9
casual,5,27.75,1499.95,230915,6407583.73
member,5,13.49,1499.93,378317,5105033.35
casual,6,27.71,1500.43,301063,8341553.48
member,6,13.88,1499.93,409464,5684463.92
casual,7,27.95,1499.95,320509,8956791.23
member,7,13.72,1499.95,428340,5875033.08
casual,8,25.8,1499.95,318330,8211601.1
member,8,13.39,1499.93,437321,5856023.3
casual,9,21.37,1500.48,346412,7402271.25
member,9,12.19,1499.97,474292,5782277.65
casual,10,23.27,1499.95,216412,5035270.32
member,10,11.98,1499.93,399767,4790564.3
casual,11,19.41,1500.85,93025,1805509.45
member,11,11.09,1499.93,241926,2683498.1
casual,12,17.54,1499.95,38362,672766.95
member,12,10.75,1499.92,139972,1504081.08
